12.12.1997 07:00	В.Макаровское	316,67	4	2,1/
13.12.1997 07:00	В.Макаровское	316,65	4	1,2/
14.12.1997 07:00	В.Макаровское	316,65	4	4,0/
15.12.1997 07:00	В.Макаровское	316,63	4	1,2/0,06
16.12.1997 07:00	В.Макаровское	316,62	4	2,1/
17.12.1997 07:00	В.Макаровское	316,61	4	2,1/2,0
18.12.1997 07:00	В.Макаровское	316,58	4	2,1/0
19.12.1997 07:00	В.Макаровское	316,57	4	2,1/2,0
20.12.1997 07:00	В.Макаровское	316,55	4	0,2/0
21.12.1997 07:00	В.Макаровское	316,54	4	2,1/2,0
22.12.1997 07:00	В.Макаровское	316,50	4	0,7/0
23.12.1997 07:00	В.Макаровское	316,49	4	2,1/2,0
24.12.1997 07:00	В.Макаровское	316,47	4	0,2/0,06
25.12.1997 07:00	В.Макаровское	316,46	4	2,1/2,0
26.12.1997 07:00	В.Макаровское	316,43	4	0,2/0
27.12.1997 07:00	В.Макаровское	316,42	4	2,1/2,03
28.12.1997 07:00	В.Макаровское	316,42	4	2,1/4,0
